word,colour,stim_condition,correct_res,key_resp.corr,key_resp.rt,,,
GREEN,red,i,r,1,3.5153073,,,
YELLOW,red,i,r,1,1.9638377,,,
RED,blue,i,b,1,0.8783242,,,
BLUE,green,i,g,1,1.4322668,,,
BLUE,yellow,i,y,1,1.4975393,,,
RED,green,i,g,1,0.8584148,,,
YELLOW,blue,i,b,1,1.2852328,,,
YELLOW,green,i,g,1,1.5144209,,,
RED,blue,i,b,1,1.2606759,,,
GREEN,red,i,r,1,2.6616663,,,
RED,green,i,g,1,1.2358531,,,
GREEN,blue,i,b,1,1.5927639,,,
RED,yellow,i,y,1,0.7380062,,,
BLUE,yellow,i,y,1,0.4848029,,,
YELLOW,red,i,r,1,0.8184833,,,
BLUE,red,i,r,1,0.6648099,,,
GREEN,yellow,i,y,1,0.7412145,,,
YELLOW,green,i,g,1,0.764302,,,
BLUE,green,i,g,1,0.5586075,,,
YELLOW,blue,i,b,1,0.6893355,,,
RED,green,i,g,1,0.7789365,,,
RED,yellow,i,y,1,0.7672129,,,
GREEN,red,i,r,1,0.8260022,,,
BLUE,red,i,r,1,0.5656063,,,
YELLOW,red,i,r,1,0.4781843,,,
GREEN,yellow,i,y,1,0.6531549,,,
BLUE,green,i,g,1,0.6218552,,,
YELLOW,green,i,g,1,0.6593582,,,
RED,blue,i,b,1,0.58173,,,
YELLOW,blue,i,b,1,0.5732589,,,
BLUE,yellow,i,y,1,0.7711513,,,
GREEN,blue,i,b,1,0.7052488,,,
BLUE,yellow,i,y,1,0.6743112,,,
YELLOW,green,i,g,1,0.6234683,,,
RED,green,i,g,1,1.4981957,,,
BLUE,green,i,g,1,0.4465306,,,
YELLOW,blue,i,b,1,0.7233857,,,
RED,yellow,i,y,1,0.5627788,,,
GREEN,yellow,i,y,1,0.7236798,,,
GREEN,red,i,r,1,0.8441048,,,
YELLOW,red,i,r,1,0.5770598,,,
RED,blue,i,b,1,1.0175478,,,
BLUE,red,i,r,1,0.9361166,,,
